2024/11/07 20:08:34 Request ID: 123awd, Method: POST, URL: /comments, IP: [::1]:61270, Status: 404, Duration: 0s, Time: 2024-11-07T20:08:34+03:00
2024/11/07 20:13:25 Request ID: 123awd, Method: POST, URL: /comments, IP: [::1]:61416, Status: 404, Duration: 0s, Time: 2024-11-07T20:13:25+03:00
2024/11/07 20:15:37 Request ID: Agwrjn, Method: POST, URL: /news/1/comment, IP: [::1]:61497, Status: 400, Duration: 4.1751ms, Time: 2024-11-07T20:15:37+03:00
2024/11/07 20:16:09 Request ID: GfEL6R, Method: POST, URL: /news/1/comment, IP: [::1]:61531, Status: 201, Duration: 231.6589ms, Time: 2024-11-07T20:16:09+03:00
2024/11/07 20:17:27 Request ID: tkSxRu, Method: POST, URL: /news/1/comment, IP: [::1]:61618, Status: 201, Duration: 45.8381ms, Time: 2024-11-07T20:17:27+03:00
2024/11/07 20:25:52 Request ID: gJjqnb, Method: GET, URL: /news/1, IP: [::1]:61872, Status: 500, Duration: 79.4882ms, Time: 2024-11-07T20:25:52+03:00
2024/11/07 20:26:22 Request ID: F7IrVW, Method: GET, URL: /news/2, IP: [::1]:61964, Status: 500, Duration: 21.0743ms, Time: 2024-11-07T20:26:22+03:00
2024/11/07 20:42:21 Request ID: MYfifQ, Method: GET, URL: /news/2, IP: [::1]:62349, Status: 500, Duration: 35.54ms, Time: 2024-11-07T20:42:21+03:00
2024/11/07 20:42:51 Request ID: td56zv, Method: GET, URL: /2, IP: [::1]:62358, Status: 404, Duration: 1.5894ms, Time: 2024-11-07T20:42:51+03:00
2024/11/07 20:42:56 Request ID: 5oiCKC, Method: GET, URL: /2, IP: [::1]:62360, Status: 404, Duration: 537.9µs, Time: 2024-11-07T20:42:56+03:00
2024/11/07 20:43:11 Request ID: xThx2q, Method: GET, URL: /news/2, IP: [::1]:62361, Status: 500, Duration: 31.632ms, Time: 2024-11-07T20:43:11+03:00
2024/11/07 20:43:15 Request ID: eHHZMe, Method: GET, URL: /news/2, IP: [::1]:62363, Status: 500, Duration: 2.6692ms, Time: 2024-11-07T20:43:15+03:00
2024/11/07 21:04:55 Request ID: EEU1eU, Method: GET, URL: /news/2, IP: [::1]:62706, Status: 200, Duration: 237.922ms, Time: 2024-11-07T21:04:55+03:00
2024/11/07 21:05:51 Request ID: wPxJcA, Method: GET, URL: /news/1, IP: [::1]:62838, Status: 200, Duration: 78.9833ms, Time: 2024-11-07T21:05:51+03:00
2024/11/07 23:58:49 Request ID: Mkgk8s, Method: GET, URL: /news/1, IP: [::1]:50849, Status: 200, Duration: 47.8357ms, Time: 2024-11-07T23:58:48+03:00
2024/11/08 00:08:10 Request ID: 2jc7rB, Method: GET, URL: /news/1, IP: [::1]:50927, Status: 200, Duration: 25.9826ms, Time: 2024-11-08T00:08:09+03:00
2024/11/08 00:09:37 Request ID: Y3upHR, Method: GET, URL: /news/1, IP: [::1]:50955, Status: 200, Duration: 3.8582ms, Time: 2024-11-08T00:09:37+03:00
2024/11/08 00:10:34 Request ID: misfRx, Method: POST, URL: /news/1/comment, IP: [::1]:50956, Status: 201, Duration: 44.2015ms, Time: 2024-11-08T00:10:34+03:00
2024/11/08 00:10:37 Request ID: FVppeL, Method: GET, URL: /news/1, IP: [::1]:50958, Status: 200, Duration: 3.5127ms, Time: 2024-11-08T00:10:37+03:00
2024/11/08 00:11:04 Request ID: HA16uI, Method: POST, URL: /news/1/comment, IP: [::1]:50959, Status: 201, Duration: 32.6532ms, Time: 2024-11-08T00:11:04+03:00
2024/11/08 00:11:05 Request ID: Jy2ymK, Method: POST, URL: /news/1/comment, IP: [::1]:50961, Status: 201, Duration: 7.4603ms, Time: 2024-11-08T00:11:05+03:00
2024/11/08 00:11:06 Request ID: lsIWCy, Method: GET, URL: /news/1, IP: [::1]:50963, Status: 200, Duration: 3.4967ms, Time: 2024-11-08T00:11:06+03:00
2024/11/08 00:19:02 Request ID: Hh2kg0, Method: POST, URL: /news/1/comment, IP: [::1]:51413, Status: 201, Duration: 49.7044ms, Time: 2024-11-08T00:19:02+03:00
2024/11/08 00:19:05 Request ID: 5s1rv0, Method: GET, URL: /news/1, IP: [::1]:51416, Status: 200, Duration: 7.1598ms, Time: 2024-11-08T00:19:05+03:00
2024/11/08 00:25:45 Request ID: ivSV8s, Method: GET, URL: /news, IP: [::1]:51666, Status: 200, Duration: 62.7993ms, Time: 2024-11-08T00:25:45+03:00
2024/11/08 00:27:01 Request ID: BVZuCZ, Method: GET, URL: /news/filter, IP: [::1]:51688, Status: 500, Duration: 1.2527ms, Time: 2024-11-08T00:27:01+03:00
2024/11/08 00:38:30 Request ID: lx4JkM, Method: GET, URL: /news/filter/провела, IP: [::1]:51841, Status: 404, Duration: 0s, Time: 2024-11-08T00:38:30+03:00
2024/11/08 00:44:21 Request ID: gtBYXE, Method: GET, URL: /news/filter/провела, IP: [::1]:51914, Status: 404, Duration: 0s, Time: 2024-11-08T00:44:21+03:00
2024/11/08 00:45:08 Request ID: 7k1Jnf, Method: GET, URL: /news, IP: [::1]:51928, Status: 200, Duration: 24.2364ms, Time: 2024-11-08T00:45:08+03:00
